time,logger,level,database,message,exception
2015-06-07 21:28:33.5071,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:28:58.4521,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:29:03.3455,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:29:28.2783,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:29:34.5052,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:29:59.4381,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:30:04.3312,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:30:29.2763,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:30:34.1706,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:30:59.1246,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:31:04.0307,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:31:29.0260,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:31:33.9477,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:31:58.9281,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:32:03.8628,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:32:28.8442,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:32:33.7648,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:32:58.7462,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:33:03.6670,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:33:28.6624,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:33:33.5691,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:33:33.6737,Raven.Database.Indexing.WorkContext,Debug,ProjectFuchsia,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2015-06-07 21:33:33.6835,Raven.Database.Indexing.WorkContext,Debug,ProjectFuchsia,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2015-06-07 21:33:58.5655,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:33:59.2999,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2015-06-07 21:33:59.2999,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2015-06-07 21:34:03.4832,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:34:28.4784,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:34:34.5734,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:34:59.5687,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:35:04.4754,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:35:29.4708,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:35:34.3775,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:35:59.3949,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:36:04.2921,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:36:29.3243,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:36:34.2325,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:36:59.2537,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:37:04.1611,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:37:29.1952,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:37:34.0904,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
